"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BHAC","Barington/Hilco Acquisition Corp.","9.95","56330293.2","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/bhac",
"BHACR","Barington/Hilco Acquisition Corp.","0.15","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/bhacr",
"BHACU","Barington/Hilco Acquisition Corp.","10.19","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/bhacu",
"BHACW","Barington/Hilco Acquisition Corp.","0.1","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/bhacw",
"BYBK","Bay Bancorp, Inc.","4.9","54128712.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bybk",
"BYLK","Baylake Corp","14.97","144016609.56","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bylk",
"BBT","BB&T Corporation","34.45","26886551763.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbt",
"BBCN","BBCN Bancorp, Inc.","15.21","1210204274.76","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbcn",
"BFR","BBVA Banco Frances S.A.","21.55","3856572548.65","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bfr",
"BBX","BBX Capital Corporation","15.16","248535920.4","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bbx",
"BCBP","BCB Bancorp, Inc. (NJ)","9.94","107765772.38","n/a","2005","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bcbp",
"BSF","Bear State Financial, Inc.","9.06","343916050.74","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bsf",
"BNCL","Beneficial Bancorp, Inc.","13.19","1056844977.66","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bncl",
"BHLB","Berkshire Hills Bancorp, Inc.","27.3","848450421","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/bhlb",
"BGCA","BGC Partners, Inc.","26.03","0","n/a","2012","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/bgca",
